Pozo,Fecha,Produccion_Barriles,Presion_PSI,Temperatura_C,Agua_Producida_Barriles,Estado
Pozo C,2022-08-04,1715,2677,61.49,268,Mantenimiento
Pozo D,2022-12-17,1886,2007,90.67,458,Cerrado
Pozo A,2022-08-06,2189,2602,75.2,68,Cerrado
Pozo C,2022-10-18,1684,2478,118.43,180,Mantenimiento
Pozo D,2022-01-06,2167,2038,99.73,272,Mantenimiento
Pozo D,2022-08-30,849,2218,74.52,409,Operando
Pozo D,2022-01-06,1788,2673,90.66,427,Cerrado
Pozo B,2022-06-10,1120,2280,89.31,100,Cerrado
Pozo E,2022-02-05,1553,2614,115.05,245,Operando
Pozo E,2022-06-23,1347,2040,113.83,171,Cerrado
Pozo E,2022-05-25,1185,2001,89.34,298,Mantenimiento
Pozo C,2022-09-03,1712,2513,76.59,305,Mantenimiento
Pozo C,2022-12-13,1580,2467,82.1,135,Mantenimiento
Pozo D,2022-04-25,806,2561,66.28,60,Mantenimiento
Pozo A,2022-12-06,1798,2148,60.38,64,Mantenimiento
Pozo C,2022-10-27,1625,2464,102.58,219,Mantenimiento
Pozo E,2022-06-12,2111,2661,77.08,128,Operando
Pozo D,2022-11-28,1837,2326,101.88,250,Cerrado
Pozo D,2022-12-25,2041,2332,109.74,271,Cerrado
Pozo D,2022-01-17,1356,2543,102.2,410,Mantenimiento
Pozo E,2022-06-27,1211,2462,71.15,413,Cerrado
Pozo E,2022-03-02,1822,2341,91.86,465,Cerrado
Pozo D,2022-08-22,1611,2513,103.54,418,Operando
Pozo C,2022-08-18,1452,2391,92.72,54,Operando
Pozo A,2022-02-06,1041,2157,116.44,492,Cerrado
Pozo A,2022-10-25,1210,2496,93.31,108,Operando
Pozo C,2022-06-27,1605,2753,95.79,348,Cerrado
Pozo C,2022-01-13,1889,2197,69.94,485,Mantenimiento
Pozo E,2022-07-28,1247,2404,91.42,457,Cerrado
Pozo E,2022-06-25,1303,2403,90.5,387,Mantenimiento
Pozo D,2022-06-03,940,2709,77.89,126,Operando
Pozo A,2022-04-28,1635,2472,80.14,302,Operando
Pozo A,2022-07-03,1670,2228,71.7,336,Operando
Pozo A,2022-10-21,1148,2003,119.86,311,Operando
Pozo C,2022-07-03,2138,2509,101.6,353,Mantenimiento
Pozo C,2022-02-26,1463,2467,93.44,70,Operando
Pozo C,2022-08-14,2013,2189,73.67,105,Cerrado
Pozo A,2022-07-28,1449,2696,68.36,426,Cerrado
Pozo D,2022-06-18,2074,2339,99.59,130,Operando
Pozo C,2022-04-10,893,2490,108.84,254,Cerrado
Pozo C,2022-02-08,1326,2602,60.71,65,Mantenimiento
Pozo E,2022-07-09,2168,2551,66.59,354,Mantenimiento
Pozo A,2022-04-21,1165,2320,78.55,326,Cerrado
Pozo A,2022-01-02,1544,2386,111.17,365,Mantenimiento
Pozo A,2022-11-15,2118,2794,113.54,130,Operando
Pozo C,2022-01-19,2132,2062,119.82,383,Cerrado
Pozo B,2022-05-01,1863,2387,89.45,192,Cerrado
Pozo A,2022-03-22,2186,2611,74.31,462,Cerrado
Pozo C,2022-03-04,2169,2781,63.52,453,Mantenimiento
Pozo E,2022-12-09,1675,2444,80.01,490,Cerrado
Pozo D,2022-02-10,2020,2207,65.98,165,Cerrado
Pozo C,2022-08-11,1610,2267,81.59,419,Mantenimiento
Pozo C,2022-12-12,841,2687,66.15,333,Mantenimiento
Pozo C,2022-10-28,2171,2121,84.75,170,Mantenimiento
Pozo D,2022-08-06,1963,2119,116.13,130,Mantenimiento
Pozo C,2022-10-27,1177,2291,73.0,281,Operando
Pozo E,2022-06-15,1605,2559,63.14,154,Mantenimiento
Pozo A,2022-12-24,1110,2760,114.44,109,Mantenimiento
Pozo A,2022-08-23,1656,2496,108.67,282,Operando
Pozo D,2022-04-19,1699,2435,102.18,360,Mantenimiento
Pozo C,2022-06-30,2062,2633,86.98,74,Operando
Pozo B,2022-06-05,1654,2265,112.77,319,Mantenimiento
Pozo A,2022-08-30,1319,2012,74.42,122,Cerrado
Pozo D,2022-04-22,2154,2326,115.26,406,Mantenimiento
Pozo C,2022-07-29,1537,2319,64.94,300,Mantenimiento
Pozo C,2022-09-05,1660,2554,66.57,363,Operando
Pozo E,2022-03-03,1147,2795,114.77,491,Mantenimiento
Pozo A,2022-08-22,1469,2040,103.38,464,Mantenimiento
Pozo D,2022-08-05,2041,2028,62.62,195,Cerrado
Pozo E,2022-10-04,1652,2670,71.53,343,Mantenimiento
Pozo E,2022-12-03,1286,2278,66.27,405,Cerrado
Pozo B,2022-12-14,1409,2394,117.17,100,Cerrado
Pozo C,2022-06-12,1285,2401,62.33,169,Operando
Pozo B,2022-10-12,2137,2332,89.8,113,Cerrado
Pozo D,2022-02-20,1783,2108,83.35,155,Operando
Pozo A,2022-04-13,1369,2359,116.06,127,Cerrado
Pozo C,2022-03-31,1499,2100,118.59,154,Mantenimiento
Pozo D,2022-03-10,1339,2682,70.58,390,Operando
Pozo C,2022-04-13,1268,2747,82.42,449,Operando
Pozo C,2022-10-19,1724,2094,100.29,355,Operando
Pozo D,2022-04-01,1478,2769,117.12,150,Cerrado
Pozo B,2022-11-27,867,2274,78.45,223,Mantenimiento
Pozo B,2022-10-06,2129,2210,78.37,254,Cerrado
Pozo A,2022-02-14,1598,2333,60.7,443,Operando
Pozo A,2022-10-18,913,2477,116.25,178,Cerrado
Pozo A,2022-01-11,884,2654,94.66,376,Cerrado
Pozo B,2022-11-05,1690,2481,72.16,446,Mantenimiento
Pozo C,2022-12-18,1959,2441,71.57,185,Mantenimiento
Pozo B,2022-05-29,862,2686,73.83,128,Cerrado
Pozo A,2022-04-04,1546,2315,99.77,125,Operando
Pozo C,2022-04-19,1319,2322,62.71,247,Mantenimiento
Pozo E,2022-09-11,959,2008,61.65,71,Mantenimiento
Pozo C,2022-04-04,1705,2277,86.71,96,Mantenimiento
Pozo A,2022-10-11,2144,2774,75.68,484,Operando
Pozo D,2022-02-27,1695,2473,81.93,469,Operando
Pozo E,2022-07-29,826,2671,117.59,411,Cerrado
Pozo A,2022-07-27,1368,2767,85.88,104,Mantenimiento
Pozo C,2022-12-04,1488,2741,112.52,229,Operando
Pozo D,2022-05-15,1221,2494,82.98,487,Operando
Pozo B,2022-07-09,1737,2148,102.1,95,Mantenimiento
Pozo B,2022-02-19,2145,2785,62.31,416,Cerrado
Pozo C,2022-04-10,808,2566,84.9,122,Operando
Pozo A,2022-09-07,850,2575,108.52,193,Operando
Pozo D,2022-06-05,1692,2577,60.73,198,Operando
Pozo D,2022-12-26,1196,2204,88.4,278,Operando
Pozo D,2022-02-22,1775,2355,76.85,433,Cerrado
Pozo D,2022-03-10,1901,2563,94.53,417,Operando
Pozo D,2022-03-28,1571,2244,91.1,229,Cerrado
Pozo A,2022-03-30,1128,2486,64.94,259,Cerrado
Pozo C,2022-04-14,1773,2176,109.32,232,Mantenimiento
Pozo E,2022-05-09,1919,2180,94.53,419,Cerrado
Pozo A,2022-05-22,2148,2120,114.4,123,Cerrado
Pozo A,2022-10-29,1286,2701,100.83,175,Cerrado
Pozo D,2022-07-19,1827,2470,76.11,175,Operando
Pozo D,2022-09-23,1500,2139,115.03,425,Operando
Pozo E,2022-11-01,1185,2608,100.35,328,Cerrado
Pozo E,2022-04-06,1711,2189,84.08,206,Cerrado
Pozo C,2022-05-20,1156,2292,80.44,381,Cerrado
Pozo C,2022-09-07,1489,2388,68.61,469,Operando
Pozo D,2022-12-23,1803,2381,103.24,110,Cerrado
Pozo B,2022-07-05,1376,2742,92.78,264,Mantenimiento
Pozo C,2022-01-27,1079,2138,111.49,428,Cerrado
Pozo D,2022-07-06,2007,2066,97.04,484,Mantenimiento
Pozo C,2022-02-21,1695,2568,69.19,263,Operando
